Date,Open,High,Low,Close,Volume,OpenInt
15/11/19,1700,1700,1700,1700,1000,1
15/11/20,1700,5600,5600,5600,164195968,1
15/11/21,5600,5320,5320,5320,1000,1
15/11/22,5320,5054,5054,5054,885,5
15/11/23,5054,1101,1101,1101,885,5
15/11/24,1101,3500,3500,3500,885,5
15/11/25,3500,12000,12000,12000,6681000,2195
15/11/26,12000,12240,12240,12240,372082,229
15/11/27,12240,12484,12484,12484,261100,225
15/11/28,12484,12733,12502,12724,3122724,1823
15/11/29,12724,12970,12732,12890,519411,405
15/11/30,12890,12890,12633,12660,119963,57
15/12/01,12660,12718,12407,12433,525402,289
15/12/02,12433,12681,12515,12622,133471,127
15/12/03,12622,12622,12370,12466,200212,125
15/12/04,12466,12459,12240,12311,149642,96
15/12/05,12311,12350,6500,12261,8374772,89
15/12/06,12261,12100,12016,12019,349413,158
15/12/07,12019,12259,12130,12239,122784,52
15/12/08,12239,12480,12220,12326,75520,60
15/12/09,12326,12400,12250,12325,80916,73
15/12/10,12325,12433,12210,12313,349914,193
15/12/11,12313,12000,10800,11007,549110,262
15/12/12,11007,11227,11096,11096,53179,23
15/12/13,11096,11317,11118,11118,13412,12
15/12/14,11118,11340,11340,11340,168295,61
15/12/15,11340,11566,11566,11566,143519,72
15/12/16,11566,11797,11797,11797,147203,71
15/12/17,11797,12032,11810,11810,7510,9
15/12/18,11810,12046,11880,11880,38899,15
15/12/19,11880,12117,12077,12077,109960,59
15/12/20,12077,12318,12096,12096,10202,10
15/12/21,12096,12337,12100,12100,1990,6
15/12/22,12100,12342,12122,12122,12014,12
15/12/23,12122,12364,12167,12167,24584,23
15/12/24,12167,12410,12223,12223,30364,31
15/12/25,12223,12467,12265,12265,22828,20
15/12/26,12265,12510,12345,12345,42897,34
15/12/27,12345,12591,12431,12431,45902,44
15/12/28,12431,12679,12481,12481,26465,20
15/12/29,12481,12730,12588,12588,56891,47
15/12/30,12588,12839,12618,12618,15682,21
15/12/31,12618,12870,12691,12691,38480,27
16/01/01,12691,12944,12742,12742,26852,31
16/01/02,12742,12996,12805,12805,32967,29
16/01/03,12805,13061,12920,12920,59218,45
16/01/04,12920,13178,12700,13064,905031,481
16/01/05,13064,13325,13098,13098,17010,11
16/01/06,13098,13359,13117,13117,9515,12
16/01/07,13117,13379,13375,13378,271391,119
16/01/08,13378,13645,13450,13601,728110,172
16/01/09,13601,13701,13329,13589,24556,31
16/01/10,13589,13485,13318,13485,50710,15
16/01/11,13485,13216,13216,13216,136817,37
16/01/12,13216,13200,12952,12966,492621,217
16/01/13,12966,13025,12750,12919,132442,85
16/01/14,12919,13177,12919,13155,233625,116
16/01/15,13155,13418,13400,13406,127118,92
16/01/16,13406,13418,13138,13212,110978,72
16/01/17,13212,13400,12982,13183,88123,54
16/01/18,13183,13140,12920,12977,197495,78
16/01/19,12977,13140,12792,12937,126535,69
16/01/20,12937,13195,12997,13159,142323,70
16/01/21,13159,13422,13422,13422,224748,56
16/01/22,13422,13690,13400,13547,249706,122
16/01/23,13547,13650,13277,13502,81972,57
16/01/24,13502,13499,13232,13499,1701,4
16/01/25,13499,13499,13230,13499,270,2
16/01/26,13499,13498,13230,13498,685,2
16/01/27,13498,13478,13229,13478,10015,6
16/01/28,13478,13477,13209,13477,530,3
16/01/29,13477,13208,13208,13208,884,4
16/01/30,13208,12944,12944,12944,5510,6
16/01/31,12944,12686,12686,12686,274,2
16/02/01,12686,12685,12433,12685,510,2
16/02/02,12685,12683,12432,12683,1210,3
16/02/03,12683,12680,12430,12680,1750,4
16/02/04,12680,12678,12427,12678,1010,2
16/02/05,12678,12678,12425,12678,325,2
16/02/06,12678,12669,12425,12669,4812,2
16/02/07,12669,12554,12416,12554,60010,11
16/02/08,12554,12552,12303,12552,1010,2
16/02/09,12552,12540,12301,12540,6073,3
16/02/10,12540,12537,12290,12537,1630,2
16/02/11,12537,12287,12287,12287,100,1
16/02/12,12287,12042,12042,12042,280,1
16/02/13,12042,11802,11802,11802,420,1
16/02/14,11802,11566,11566,11566,500,2
16/02/15,11566,11335,11335,11335,1377,2
16/02/16,11335,11561,11109,11120,686033,206
16/02/17,11120,11111,10898,11036,51819,41
16/02/18,11036,11100,10816,10996,30957,15
16/02/19,10996,10996,10777,10954,27245,16
16/02/20,10954,10799,10735,10799,95037,41
16/02/21,10799,10996,10584,10763,24692,8
16/02/22,10763,10855,10548,10606,110010,19
16/02/23,10606,10603,10394,10603,2140,2
16/02/24,10603,10598,10391,10598,3264,3
16/02/25,10598,10574,10387,10574,15128,24
16/02/26,10574,10402,10363,10371,217489,70
16/02/27,10371,10578,10164,10361,13835,14
16/02/28,10361,10361,10154,10361,236,3
16/02/29,10361,10353,10154,10353,5010,2
16/03/01,10353,10348,10146,10348,3038,3
16/03/02,10348,10345,10142,10345,1876,3
16/03/03,10345,10345,10139,10345,304,2
16/03/04,10345,10340,10139,10340,2964,3
16/03/05,10340,10331,10134,10331,5519,3
16/03/06,10331,10125,10125,10125,883,3
16/03/07,10125,10327,9923,10028,349475,98
16/03/08,10028,10228,10027,10225,794583,166
16/03/09,10225,10429,10405,10428,236926,69
16/03/10,10428,10636,10558,10558,40510,9
16/03/11,10558,10769,10591,10591,20810,9
16/03/12,10591,10802,10592,10592,710,2
16/03/13,10592,10803,10673,10673,50902,26
16/03/14,10673,10886,10756,10756,51262,26
16/03/15,10756,10971,10873,10873,71633,22
16/03/16,10873,11090,11011,11011,84168,34
16/03/17,11011,11231,11128,11128,70510,33
16/03/18,11128,11350,11222,11222,55924,26
16/03/19,11222,11446,11387,11387,97010,30
16/03/20,11387,11614,11614,11614,199671,90
16/03/21,11614,11846,11446,11641,418865,125
16/03/22,11641,11873,11630,11706,118438,50
16/03/23,11706,11940,11855,11930,261010,58
16/03/24,11930,11929,11800,11929,1184,4
16/03/25,11929,11928,11691,11928,510,2
16/03/26,11928,11748,11690,11748,99789,40
16/03/27,11748,11748,11748,11748,5000,2
16/03/28,11748,11748,11737,11748,1370,7
16/03/29,11748,11698,11514,11698,28015,13
16/03/30,11698,11654,11465,11654,27918,21
16/03/31,11654,11700,11421,11597,118296,32
16/04/01,11597,11828,11366,11626,34519,26
16/04/02,11626,11626,11410,11622,2403,5
16/04/03,11622,11622,11410,11621,1366,3
16/04/04,11621,11616,11389,11616,3010,3
16/04/05,11616,14367,11616,11616,66000010,3
16/04/06,11616,11368,9700,11161,350845,81
16/04/07,11161,11384,10938,11252,108449,40
16/04/08,11252,11300,11027,11255,55098,29
16/04/09,11255,11480,11255,11405,88841,29
16/04/10,11405,11406,11403,11405,118561,34
16/04/11,11405,11410,11399,11405,691,5
16/04/12,11405,11397,11177,11397,4710,4
16/04/13,11397,11397,11170,11397,23,2
16/04/14,11397,11290,11056,11290,41510,21
16/04/15,11290,11265,10952,11265,9586,5
16/04/16,11265,11300,11160,11260,116163,8
16/04/17,11260,11257,11000,11257,1510,3
16/04/18,11257,11399,10920,11240,153613,28
16/04/19,11240,11240,11132,11240,450,2
16/04/20,11240,11570,10903,11193,30678,20
16/04/21,11193,11193,11193,11193,15,2
16/04/22,11193,11528,10900,11185,14457,15
16/04/23,11185,11520,11242,11242,34572,9
16/04/24,11242,11578,11242,11278,36076,13
16/04/25,11278,11277,11000,11277,310,2
16/04/26,11277,11500,11000,11252,30293,13
16/04/27,11252,11237,11000,11237,8075,6
16/04/28,11237,11230,10921,11230,3336,5
16/04/29,11230,11236,10921,11214,12785,13
16/04/30,11214,11550,11000,11254,151396,14
16/05/01,11254,11591,11289,11289,13660,9
16/05/02,11289,11289,11289,11289,11050,4
16/05/03,11289,11627,11290,11294,2415,8
16/05/04,11294,11632,11307,11307,5094,3
16/05/05,11307,11646,11453,11453,56798,17
16/05/06,11453,11796,11676,11676,86003,33
16/05/07,11676,12026,11948,11948,102832,27
16/05/08,11948,12306,5503,12046,49539686,25
16/05/09,12046,12407,11700,12090,333181,22
16/05/10,12090,12452,11999,12134,22763,12
